19:09:55.517 INFO  Loading C:\Program Files (x86)\Steam\steamapps\common\Portal 2\portal2\maps\mp_coop_catapult_2.bsp
19:09:55.663 INFO  Using 'DStaticPropV9' for sprp version 9
19:09:55.668 WARN  Lump LUMP_DISPINFO is empty
19:09:55.668 WARN  Lump LUMP_DISP_VERTS is empty
19:09:55.668 WARN  Lump LUMP_DISP_TRIS is empty
19:09:55.668 WARN  Lump LUMP_DISP_MULTIBLEND is empty
19:09:55.670 INFO  BSP version: 21
19:09:55.670 INFO  Game: Portal 2
19:09:55.671 INFO  Equal amount of areaporal entities and areaportal brushes. Using 'Ordered' method
19:09:55.671 INFO  No occluders to reallocate...
19:09:55.755 INFO  1870 (18.7%) exact brushside->origface matches
19:09:55.755 INFO  1/0 (nondisp/disp) original faces left after exact brushside->origface matching
19:09:55.783 INFO  190 (1.9%) partial brushside->origface matches
19:09:55.783 INFO  Writing brushes and planes
19:09:55.927 INFO  Writing displacements
19:09:55.927 INFO  Writing entities
19:09:55.983 INFO  Writing func_details
19:09:56.071 INFO  Writing func_viscluster
19:09:56.071 INFO  Writing info_overlays
19:09:56.072 INFO  Writing prop_statics
19:09:56.082 INFO  Writing env_cubemaps
19:09:56.082 INFO  Writing func_ladders
19:09:56.082 INFO  Finished decompiling C:\Program Files (x86)\Steam\steamapps\common\Portal 2\portal2\maps\mp_coop_catapult_2.bsp.
