19:09:56.799 INFO  Loading C:\Program Files (x86)\Steam\steamapps\common\Portal 2\portal2\maps\mp_coop_lobby_2.bsp
19:09:56.947 INFO  Using 'DStaticPropV9' for sprp version 9
19:09:56.952 WARN  Lump LUMP_DISPINFO is empty
19:09:56.952 WARN  Lump LUMP_DISP_VERTS is empty
19:09:56.952 WARN  Lump LUMP_DISP_TRIS is empty
19:09:56.952 WARN  Lump LUMP_DISP_MULTIBLEND is empty
19:09:56.955 INFO  BSP version: 21
19:09:56.955 INFO  Game: Portal 2
19:09:56.955 INFO  Equal amount of areaporal entities and areaportal brushes. Using 'Ordered' method
19:09:56.955 INFO  No occluders to reallocate...
19:09:57.030 INFO  4797 (24.8%) exact brushside->origface matches
19:09:57.030 INFO  56/0 (nondisp/disp) original faces left after exact brushside->origface matching
19:09:57.071 INFO  405 (2.1%) partial brushside->origface matches
19:09:57.071 INFO  Writing brushes and planes
19:09:57.151 INFO  Writing displacements
19:09:57.151 INFO  Writing entities
19:09:57.295 INFO  Writing func_details
19:09:57.458 INFO  Writing func_viscluster
19:09:57.458 INFO  Writing info_overlays
19:09:57.459 INFO  Writing prop_statics
19:09:57.463 INFO  Writing env_cubemaps
19:09:57.463 INFO  Writing func_ladders
19:09:57.463 INFO  Finished decompiling C:\Program Files (x86)\Steam\steamapps\common\Portal 2\portal2\maps\mp_coop_lobby_2.bsp.
