19:09:56.281 INFO  Loading C:\Program Files (x86)\Steam\steamapps\common\Portal 2\portal2\maps\mp_coop_multifling_1.bsp
19:09:56.360 INFO  Using 'DStaticPropV9' for sprp version 9
19:09:56.365 WARN  Lump LUMP_DISPINFO is empty
19:09:56.365 WARN  Lump LUMP_DISP_VERTS is empty
19:09:56.365 WARN  Lump LUMP_DISP_TRIS is empty
19:09:56.365 WARN  Lump LUMP_DISP_MULTIBLEND is empty
19:09:56.367 INFO  BSP version: 21
19:09:56.367 INFO  Game: Portal 2
19:09:56.373 INFO  Equal amount of areaporal entities and areaportal brushes. Using 'Ordered' method
19:09:56.373 INFO  No occluders to reallocate...
19:09:56.447 INFO  2758 (19.0%) exact brushside->origface matches
19:09:56.447 INFO  2/0 (nondisp/disp) original faces left after exact brushside->origface matching
19:09:56.478 INFO  240 (1.6%) partial brushside->origface matches
19:09:56.478 INFO  Writing brushes and planes
19:09:56.682 INFO  Writing displacements
19:09:56.682 INFO  Writing entities
19:09:56.758 INFO  Writing func_details
19:09:56.834 INFO  Writing func_viscluster
19:09:56.834 INFO  Writing info_overlays
19:09:56.837 INFO  Writing prop_statics
19:09:56.842 INFO  Writing env_cubemaps
19:09:56.842 INFO  Writing func_ladders
19:09:56.842 INFO  Finished decompiling C:\Program Files (x86)\Steam\steamapps\common\Portal 2\portal2\maps\mp_coop_multifling_1.bsp.
