19:09:56.995 INFO  Loading C:\Program Files (x86)\Steam\steamapps\common\Portal 2\portal2\maps\mp_coop_tbeam_polarity3.bsp
19:09:57.052 INFO  Using 'DStaticPropV9' for sprp version 9
19:09:57.053 WARN  Lump LUMP_CLIPPORTALVERTS is empty
19:09:57.053 WARN  Lump LUMP_DISPINFO is empty
19:09:57.053 WARN  Lump LUMP_DISP_VERTS is empty
19:09:57.053 WARN  Lump LUMP_DISP_TRIS is empty
19:09:57.053 WARN  Lump LUMP_DISP_MULTIBLEND is empty
19:09:57.054 INFO  BSP version: 21
19:09:57.054 INFO  Game: Portal 2
19:09:57.055 INFO  No areaportals to reallocate...
19:09:57.055 INFO  No occluders to reallocate...
19:09:57.087 INFO  1617 (19.7%) exact brushside->origface matches
19:09:57.087 INFO  1/0 (nondisp/disp) original faces left after exact brushside->origface matching
19:09:57.112 INFO  137 (1.7%) partial brushside->origface matches
19:09:57.112 INFO  Writing brushes and planes
19:09:57.162 INFO  Writing displacements
19:09:57.162 INFO  Writing entities
19:09:57.190 INFO  Writing func_details
19:09:57.308 INFO  Writing func_viscluster
19:09:57.308 INFO  Writing info_overlays
19:09:57.310 INFO  Writing prop_statics
19:09:57.315 INFO  Writing env_cubemaps
19:09:57.315 INFO  Writing func_ladders
19:09:57.315 INFO  Finished decompiling C:\Program Files (x86)\Steam\steamapps\common\Portal 2\portal2\maps\mp_coop_tbeam_polarity3.bsp.
