19:09:55.577 INFO  Loading C:\Program Files (x86)\Steam\steamapps\common\Portal 2\portal2\maps\sky_garden.bsp
19:09:55.584 WARN  Lump LUMP_CUBEMAPS is empty
19:09:55.584 WARN  Lump LUMP_CLIPPORTALVERTS is empty
19:09:55.584 WARN  Lump LUMP_DISPINFO is empty
19:09:55.585 WARN  Lump LUMP_DISP_VERTS is empty
19:09:55.585 WARN  Lump LUMP_DISP_TRIS is empty
19:09:55.585 WARN  Lump LUMP_DISP_MULTIBLEND is empty
19:09:55.586 WARN  Lump LUMP_OVERLAYS is empty
19:09:55.586 WARN  Lump LUMP_OVERLAY_FADES is empty
19:09:55.586 WARN  Lump LUMP_OVERLAY_SYSTEM_LEVELS is empty
19:09:55.586 INFO  BSP version: 21
19:09:55.587 INFO  Game: Alien Swarm
19:09:55.587 INFO  No areaportals to reallocate...
19:09:55.587 INFO  No occluders to reallocate...
19:09:55.588 INFO  10 (13.9%) exact brushside->origface matches
19:09:55.588 INFO  0/0 (nondisp/disp) original faces left after exact brushside->origface matching
19:09:55.589 INFO  0 (0.0%) partial brushside->origface matches
19:09:55.589 INFO  Writing brushes and planes
19:09:55.590 INFO  Writing displacements
19:09:55.590 INFO  Writing entities
19:09:55.590 INFO  Writing func_details
19:09:55.590 INFO  Writing func_viscluster
19:09:55.591 INFO  Writing info_overlays
19:09:55.591 INFO  Writing prop_statics
19:09:55.591 INFO  Writing env_cubemaps
19:09:55.591 INFO  Writing func_ladders
19:09:55.591 INFO  Finished decompiling C:\Program Files (x86)\Steam\steamapps\common\Portal 2\portal2\maps\sky_garden.bsp.
