19:09:56.751 INFO  Loading C:\Program Files (x86)\Steam\steamapps\common\Portal 2\portal2\maps\sp_a2_bts2.bsp
19:09:56.823 INFO  Using 'DStaticPropV9' for sprp version 9
19:09:56.824 WARN  Lump LUMP_DISPINFO is empty
19:09:56.824 WARN  Lump LUMP_DISP_VERTS is empty
19:09:56.824 WARN  Lump LUMP_DISP_TRIS is empty
19:09:56.824 WARN  Lump LUMP_DISP_MULTIBLEND is empty
19:09:56.825 INFO  BSP version: 21
19:09:56.825 INFO  Game: Portal 2
19:09:56.830 INFO  Equal amount of areaporal entities and areaportal brushes. Using 'Ordered' method
19:09:56.830 INFO  No occluders to reallocate...
19:09:56.847 INFO  1733 (44.5%) exact brushside->origface matches
19:09:56.847 INFO  0/0 (nondisp/disp) original faces left after exact brushside->origface matching
19:09:56.853 INFO  54 (1.4%) partial brushside->origface matches
19:09:56.853 INFO  Writing brushes and planes
19:09:56.919 INFO  Writing displacements
19:09:56.919 INFO  Writing entities
19:09:56.977 INFO  Writing func_details
19:09:56.983 INFO  Writing func_viscluster
19:09:56.983 INFO  Writing info_overlays
19:09:56.983 INFO  Writing prop_statics
19:09:56.995 INFO  Writing env_cubemaps
19:09:56.995 INFO  Writing func_ladders
19:09:56.995 INFO  Finished decompiling C:\Program Files (x86)\Steam\steamapps\common\Portal 2\portal2\maps\sp_a2_bts2.bsp.
