19:09:55.115 INFO  Loading C:\Program Files (x86)\Steam\steamapps\common\Portal 2\portal2\maps\sp_a2_core.bsp
19:09:55.225 INFO  Using 'DStaticPropV9' for sprp version 9
19:09:55.229 WARN  Lump LUMP_DISPINFO is empty
19:09:55.229 WARN  Lump LUMP_DISP_VERTS is empty
19:09:55.229 WARN  Lump LUMP_DISP_TRIS is empty
19:09:55.229 WARN  Lump LUMP_DISP_MULTIBLEND is empty
19:09:55.232 INFO  BSP version: 21
19:09:55.232 INFO  Game: Portal 2
19:09:55.233 INFO  Equal amount of areaporal entities and areaportal brushes. Using 'Ordered' method
19:09:55.233 INFO  No occluders to reallocate...
19:09:55.292 INFO  2924 (25.1%) exact brushside->origface matches
19:09:55.292 INFO  0/0 (nondisp/disp) original faces left after exact brushside->origface matching
19:09:55.320 INFO  131 (1.1%) partial brushside->origface matches
19:09:55.320 INFO  Writing brushes and planes
19:09:55.372 INFO  Writing displacements
19:09:55.372 INFO  Writing entities
19:09:55.470 INFO  Writing func_details
19:09:55.586 INFO  Writing func_viscluster
19:09:55.587 INFO  Writing info_overlays
19:09:55.587 INFO  Writing prop_statics
19:09:55.610 INFO  Writing env_cubemaps
19:09:55.610 INFO  Writing func_ladders
19:09:55.610 INFO  Finished decompiling C:\Program Files (x86)\Steam\steamapps\common\Portal 2\portal2\maps\sp_a2_core.bsp.
