19:09:55.610 INFO  Loading C:\Program Files (x86)\Steam\steamapps\common\Portal 2\portal2\maps\sp_a4_intro.bsp
19:09:55.678 INFO  Using 'DStaticPropV9' for sprp version 9
19:09:55.686 WARN  Lump LUMP_DISPINFO is empty
19:09:55.686 WARN  Lump LUMP_DISP_VERTS is empty
19:09:55.686 WARN  Lump LUMP_DISP_TRIS is empty
19:09:55.686 WARN  Lump LUMP_DISP_MULTIBLEND is empty
19:09:55.689 INFO  BSP version: 21
19:09:55.689 INFO  Game: Portal 2
19:09:55.689 INFO  Equal amount of areaporal entities and areaportal brushes. Using 'Ordered' method
19:09:55.689 INFO  No occluders to reallocate...
19:09:55.823 INFO  3144 (18.8%) exact brushside->origface matches
19:09:55.823 INFO  0/0 (nondisp/disp) original faces left after exact brushside->origface matching
19:09:55.874 INFO  213 (1.3%) partial brushside->origface matches
19:09:55.874 INFO  Writing brushes and planes
19:09:56.043 INFO  Writing displacements
19:09:56.043 INFO  Writing entities
19:09:56.111 INFO  Writing func_details
19:09:56.276 INFO  Writing func_viscluster
19:09:56.276 INFO  Writing info_overlays
19:09:56.278 INFO  Writing prop_statics
19:09:56.292 INFO  Writing env_cubemaps
19:09:56.292 INFO  Writing func_ladders
19:09:56.292 INFO  Finished decompiling C:\Program Files (x86)\Steam\steamapps\common\Portal 2\portal2\maps\sp_a4_intro.bsp.
