19:09:56.098 INFO  Loading C:\Program Files (x86)\Steam\steamapps\common\Portal 2\portal2\maps\sp_a4_tb_catch.bsp
19:09:56.220 INFO  Using 'DStaticPropV9' for sprp version 9
19:09:56.224 WARN  Lump LUMP_DISPINFO is empty
19:09:56.224 WARN  Lump LUMP_DISP_VERTS is empty
19:09:56.224 WARN  Lump LUMP_DISP_TRIS is empty
19:09:56.224 WARN  Lump LUMP_DISP_MULTIBLEND is empty
19:09:56.226 INFO  BSP version: 21
19:09:56.226 INFO  Game: Portal 2
19:09:56.227 INFO  Equal amount of areaporal entities and areaportal brushes. Using 'Ordered' method
19:09:56.227 INFO  No occluders to reallocate...
19:09:56.275 INFO  2587 (20.0%) exact brushside->origface matches
19:09:56.275 INFO  0/0 (nondisp/disp) original faces left after exact brushside->origface matching
19:09:56.308 INFO  221 (1.7%) partial brushside->origface matches
19:09:56.308 INFO  Writing brushes and planes
19:09:56.420 INFO  Writing displacements
19:09:56.420 INFO  Writing entities
19:09:56.450 INFO  Writing func_details
19:09:56.580 INFO  Writing func_viscluster
19:09:56.580 INFO  Writing info_overlays
19:09:56.583 INFO  Writing prop_statics
19:09:56.597 INFO  Writing env_cubemaps
19:09:56.597 INFO  Writing func_ladders
19:09:56.597 INFO  Finished decompiling C:\Program Files (x86)\Steam\steamapps\common\Portal 2\portal2\maps\sp_a4_tb_catch.bsp.
