19:09:55.419 INFO  Loading C:\Program Files (x86)\Steam\steamapps\common\Portal 2\portal2\maps\sp_a4_tb_polarity.bsp
19:09:55.485 INFO  Using 'DStaticPropV9' for sprp version 9
19:09:55.493 WARN  Lump LUMP_DISPINFO is empty
19:09:55.493 WARN  Lump LUMP_DISP_VERTS is empty
19:09:55.493 WARN  Lump LUMP_DISP_TRIS is empty
19:09:55.493 WARN  Lump LUMP_DISP_MULTIBLEND is empty
19:09:55.495 INFO  BSP version: 21
19:09:55.495 INFO  Game: Portal 2
19:09:55.497 INFO  Equal amount of areaporal entities and areaportal brushes. Using 'Ordered' method
19:09:55.497 INFO  No occluders to reallocate...
19:09:55.533 INFO  2083 (18.6%) exact brushside->origface matches
19:09:55.533 INFO  0/0 (nondisp/disp) original faces left after exact brushside->origface matching
19:09:55.553 INFO  126 (1.1%) partial brushside->origface matches
19:09:55.553 INFO  Writing brushes and planes
19:09:55.607 INFO  Writing displacements
19:09:55.607 INFO  Writing entities
19:09:55.650 INFO  Writing func_details
19:09:55.831 INFO  Writing func_viscluster
19:09:55.831 INFO  Writing info_overlays
19:09:55.832 INFO  Writing prop_statics
19:09:55.847 INFO  Writing env_cubemaps
19:09:55.847 INFO  Writing func_ladders
19:09:55.847 INFO  Finished decompiling C:\Program Files (x86)\Steam\steamapps\common\Portal 2\portal2\maps\sp_a4_tb_polarity.bsp.
