19:09:53.751 INFO  Loading C:\Program Files (x86)\Steam\steamapps\common\Portal 2\portal2\maps\sp_a5_credits.bsp
19:09:53.754 WARN  Lump LUMP_CLIPPORTALVERTS is empty
19:09:53.754 WARN  Lump LUMP_DISPINFO is empty
19:09:53.754 WARN  Lump LUMP_DISP_VERTS is empty
19:09:53.754 WARN  Lump LUMP_DISP_TRIS is empty
19:09:53.754 WARN  Lump LUMP_DISP_MULTIBLEND is empty
19:09:53.755 WARN  Lump LUMP_OVERLAYS is empty
19:09:53.755 WARN  Lump LUMP_OVERLAY_FADES is empty
19:09:53.755 WARN  Lump LUMP_OVERLAY_SYSTEM_LEVELS is empty
19:09:53.755 INFO  BSP version: 21
19:09:53.755 INFO  Game: Portal 2
19:09:53.758 INFO  No areaportals to reallocate...
19:09:53.758 INFO  No occluders to reallocate...
19:09:53.759 INFO  12 (16.7%) exact brushside->origface matches
19:09:53.760 INFO  0/0 (nondisp/disp) original faces left after exact brushside->origface matching
19:09:53.760 INFO  0 (0.0%) partial brushside->origface matches
19:09:53.760 INFO  Writing brushes and planes
19:09:53.768 INFO  Writing displacements
19:09:53.768 INFO  Writing entities
19:09:53.768 INFO  Writing func_details
19:09:53.769 INFO  Writing func_viscluster
19:09:53.769 INFO  Writing info_overlays
19:09:53.769 INFO  Writing prop_statics
19:09:53.769 INFO  Writing env_cubemaps
19:09:53.769 INFO  Writing func_ladders
19:09:53.770 INFO  Finished decompiling C:\Program Files (x86)\Steam\steamapps\common\Portal 2\portal2\maps\sp_a5_credits.bsp.
