19:09:54.728 INFO  Loading C:\Program Files (x86)\Steam\steamapps\common\Portal 2\portal2\maps\stardust_triple_laser_d.bsp
19:09:54.789 INFO  Using 'DStaticPropV9' for sprp version 9
19:09:54.793 WARN  Lump LUMP_DISPINFO is empty
19:09:54.793 WARN  Lump LUMP_DISP_VERTS is empty
19:09:54.793 WARN  Lump LUMP_DISP_TRIS is empty
19:09:54.793 WARN  Lump LUMP_DISP_MULTIBLEND is empty
19:09:54.798 INFO  BSP version: 21
19:09:54.798 INFO  Game: Portal 2
19:09:54.798 INFO  Equal amount of areaporal entities and areaportal brushes. Using 'Ordered' method
19:09:54.798 INFO  No occluders to reallocate...
19:09:54.806 INFO  Map comment: Decompiled by BSPSource v1.4.6.1 from sp_a2_triple_laser
19:09:54.933 INFO  1300 (13.2%) exact brushside->origface matches
19:09:54.933 INFO  2/0 (nondisp/disp) original faces left after exact brushside->origface matching
19:09:54.956 INFO  36 (0.4%) partial brushside->origface matches
19:09:54.956 INFO  Writing brushes and planes
19:09:55.025 INFO  Writing displacements
19:09:55.025 INFO  Writing entities
19:09:55.064 INFO  Writing func_details
19:09:55.242 INFO  Writing func_viscluster
19:09:55.242 INFO  Writing info_overlays
19:09:55.243 INFO  Writing prop_statics
19:09:55.253 INFO  Writing env_cubemaps
19:09:55.253 INFO  Writing func_ladders
19:09:55.253 INFO  Finished decompiling C:\Program Files (x86)\Steam\steamapps\common\Portal 2\portal2\maps\stardust_triple_laser_d.bsp.
